Feature,MI_Score
Mins_ewm_0.3,0.4516306650825044
Mins_ewm_0.2,0.4440768717513528
Mins_ewm_0.5,0.4337528940762958
Mins_ewm_0.1,0.42592898067036167
Mins_last5_mean,0.4222774321528302
Mins_last3_mean,0.41877619070179684
Mins_last10_mean,0.41469461620003933
Mins_last5_median,0.4085825492714372
Mins_last10_median,0.39794593706106784
Mins_last3_median,0.3933253633762934
PlayerRating_ewm_0.2,0.38685368453963953
PlayerRating_ewm_0.3,0.3807768166573249
PlayerRating_ewm_0.1,0.37219492798816933
PlayerRating_last5_mean,0.36224987028942746
PlayerRating_last10_mean,0.3612380452500501
PlayerRating_ewm_0.5,0.359307435542755
PlayerRating_last10_median,0.3591888744765175
PlayerRating_last3_mean,0.3403596913527478
PlayerRating_last5_median,0.33985295727193243
PlayerRating_last3_median,0.3213740742018665
StarterFlag,0.2913764083655277
EffectiveFGPct_last10_median,0.21518183311731676
PtsPerMin_last5_median,0.2121218523516628
PtsPerMin_last3_median,0.20378360405754137
TrueShootingPct_last5_median,0.1991938850877082
AstPerMin_last10_median,0.1986152561962662
PtsPerMin_last10_median,0.19739309147046757
TrueShootingPct_last3_median,0.19286886995686547
EffectiveFGPct_last5_median,0.19201547386974838
EffectiveFGPct_last3_mean,0.19072087439074803
EffectiveFGPct_last3_median,0.18868966461378367
TrueShootingPct_last10_median,0.1860878791214402
UsageRate_last3_median,0.1773007951701402
AstPerMin_last5_median,0.17651483897591014
UsageRate_last5_median,0.16994786382986504
EffectiveFGPct_last5_mean,0.16877449098153807
RebPerMin_last3_median,0.16706017055232358
AstPerMin_last3_median,0.16464564352868294
PtsPerMin_last3_mean,0.1563472799809631
AstPerMin_last3_mean,0.15445455377045736
EffectiveFGPct_last10_mean,0.15293129516818116
PtsPerMin_last5_mean,0.15215483781650097
PtsPerMin_last10_mean,0.1492330984279926
RebPerMin_last5_median,0.14868228249827542
TrueShootingPct_last3_mean,0.14809667741915788
PtsPerMin_ewm_0.2,0.14525498342286003
UsageRate_last10_median,0.14272201001949103
TrueShootingPct_last10_mean,0.14090372683829333
PtsPerMin_ewm_0.1,0.13943401341610429
EffectiveFGPct_ewm_0.1,0.13803246487966536
TrueShootingPct_ewm_0.2,0.13781739019996575
TrueShootingPct_ewm_0.1,0.1377342841572471
EffectiveFGPct_ewm_0.2,0.13769058036150916
PtsPerMin_ewm_0.3,0.13516140384280284
RebPerMin_last10_median,0.1347905535906957
TrueShootingPct_ewm_0.3,0.1334396540746443
TrueShootingPct_last5_mean,0.13226114198574468
PtsPerMin_ewm_0.5,0.13008429255354503
AstPerMin_last5_mean,0.1294740279483495
EffectiveFGPct_ewm_0.5,0.1249777645544139
TrueShootingPct_ewm_0.5,0.12018913519894792
EffectiveFGPct_ewm_0.3,0.1185492253401641
AstPerMin_last10_mean,0.10616982441086087
AstPerMin_ewm_0.5,0.10133696555058602
RebPerMin_last3_mean,0.09865703137477322
UsageRate_last3_mean,0.09758060839163996
UsageRate_ewm_0.1,0.0877538576950263
UsageRate_last10_mean,0.08653298153251754
UsageRate_last5_mean,0.08633427135385308
AstPerMin_ewm_0.3,0.08485056505448352
UsageRate_ewm_0.5,0.0848033635535188
UsageRate_ewm_0.2,0.08352841053837956
AstPerMin_ewm_0.1,0.08214284951851614
AstPerMin_ewm_0.2,0.08141532242988792
UsageRate_ewm_0.3,0.07949504255754558
RebPerMin_last5_mean,0.05202102623806226
RebPerMin_ewm_0.5,0.03510517152056458
Mins_ewm_std_0.1,0.0349620865776723
RebPerMin_last10_mean,0.03154836205515821
RebPerMin_ewm_0.3,0.026441735887722473
Mins_ewm_std_0.2,0.026183491398390046
RebPerMin_ewm_0.1,0.022801445450044255
Mins_ewm_std_0.3,0.02072943508347791
RebPerMin_ewm_0.2,0.02044306783460126
Mins_ewm_std_0.5,0.007274961924845336
